wavelength_nm,measured_norm,nist_synth_norm
229.42309600,2.38804537e-01,2.66171345e-02
229.43904100,2.43924292e-01,3.14339891e-02
229.45498700,2.20453418e-01,3.84951726e-02
229.47094700,2.01462330e-01,4.82446444e-02
229.48689300,2.19973441e-01,6.10421672e-02
229.50285300,2.20485417e-01,7.71874760e-02
229.51879900,1.99654417e-01,9.67862235e-02
229.53472900,1.68983889e-01,1.19778286e-01
229.55067400,1.73703662e-01,1.45949204e-01
229.56662000,1.85783082e-01,1.74796817e-01
229.58256500,1.94822649e-01,2.05614602e-01
229.59852600,2.01302337e-01,2.37542889e-01
229.61447100,1.95878598e-01,2.69481484e-01
229.63043200,2.14533702e-01,3.00380491e-01
229.64637800,2.08757980e-01,3.29065230e-01
229.66232300,1.87766987e-01,3.54522474e-01
229.67828400,1.77879462e-01,3.75869177e-01
229.69421400,1.79623378e-01,3.92331364e-01
229.71015900,1.83639185e-01,4.03462271e-01
229.72612000,1.71319777e-01,4.08970288e-01
229.74206500,1.90006880e-01,4.08786994e-01
229.75801100,1.96902549e-01,4.03064658e-01
229.77395600,2.23637265e-01,3.92127963e-01
229.78990200,2.54355791e-01,3.76456730e-01
229.80584700,2.89554101e-01,3.56670924e-01
229.82179300,3.32000064e-01,3.33504059e-01
229.83773800,3.35871878e-01,3.07792663e-01
229.85368300,3.13776939e-01,2.80441399e-01
229.86964400,2.58899573e-01,2.52367286e-01
229.88559000,2.09637937e-01,2.24567789e-01
229.90153500,1.57528439e-01,1.97908173e-01
229.91749600,1.22730109e-01,1.73148655e-01
229.93344100,1.35129514e-01,1.50973579e-01
229.94938700,1.29145801e-01,1.31803091e-01
229.96533200,1.24938003e-01,1.15882274e-01
229.98127700,1.04522983e-01,1.03252295e-01
229.99720800,9.14516103e-02,9.37889485e-02
230.01316800,8.09721133e-02,8.72114312e-02
230.02911400,7.94041886e-02,8.32112276e-02
230.04505900,9.22835704e-02,8.14413608e-02
230.06102000,8.21560565e-02,8.16069341e-02
230.07696500,9.95152233e-02,8.34945143e-02
230.09289600,1.14842488e-01,8.69849911e-02
230.10884100,1.54376590e-01,9.20578694e-02
230.12480200,1.80343344e-01,9.87445573e-02
230.14074700,1.89382910e-01,1.07056753e-01
230.15669300,1.54424588e-01,1.16961311e-01
230.17265300,1.10170712e-01,1.28302795e-01
230.18858300,1.00219189e-01,1.40711176e-01
230.20452900,1.15930435e-01,1.53692899e-01
230.22049000,1.11738637e-01,1.66541357e-01
230.23642000,8.34999920e-02,1.78383203e-01
230.25236500,5.69252676e-02,1.88362558e-01
230.26831100,4.77737069e-02,1.95616257e-01
230.28427100,4.31499288e-02,1.99432546e-01
230.30021700,6.66368014e-02,1.99318282e-01
230.31616200,7.54043806e-02,1.95080867e-01
230.33212300,8.02681471e-02,1.86826146e-01
230.34806800,6.83167208e-02,1.74987328e-01
230.36399800,6.93246724e-02,1.60239992e-01
230.37992900,8.11001072e-02,1.43411151e-01
230.39588900,1.12378606e-01,1.25387244e-01
230.41183500,1.32089660e-01,1.07125757e-01
230.42778000,1.40521255e-01,8.94306593e-02
230.44372600,1.34217558e-01,7.29669025e-02
230.45968600,1.24426028e-01,5.82062850e-02
230.47563200,1.19674256e-01,4.54657156e-02
230.49157700,1.26041950e-01,3.48453878e-02
230.50750700,1.73287682e-01,2.63174375e-02
230.52346800,2.31108907e-01,1.97166425e-02
230.53941300,2.47988097e-01,1.48509707e-02
230.55534400,2.45300226e-01,1.14654500e-02
230.57128900,2.50547974e-01,9.29615146e-03
230.58725000,2.57795626e-01,8.09807392e-03
230.60319500,2.50051998e-01,7.64668910e-03
230.61914100,2.47860103e-01,7.73897622e-03
230.63507100,2.53091852e-01,8.19842424e-03
230.65103100,2.33556789e-01,8.87433754e-03
230.66697700,2.55091756e-01,9.63418663e-03
230.68292200,3.04769371e-01,1.03676614e-02
230.69886800,3.37855783e-01,1.09841411e-02
230.71481300,3.43071533e-01,1.14138508e-02
230.73075900,3.44303473e-01,1.16095179e-02
230.74670400,3.43631506e-01,1.15472233e-02
230.76265000,3.30112155e-01,1.12265850e-02
230.77858000,3.10593092e-01,1.06701883e-02
230.79454000,3.24960402e-01,9.91786862e-03
230.81048600,3.46495368e-01,9.02964892e-03
230.82643100,3.94813049e-01,8.07642998e-03
230.84237700,4.42858743e-01,7.14045046e-03
230.85832200,4.22059741e-01,6.31494494e-03
230.87428300,3.85469497e-01,5.70605994e-03
230.89021300,3.69838248e-01,5.44164825e-03
230.90614300,3.86541446e-01,5.67576680e-03
230.92208900,4.37355007e-01,6.60676988e-03
230.93803400,4.56778075e-01,8.48692849e-03
230.95399500,4.11228261e-01,1.16388762e-02
230.96994000,3.49295234e-01,1.64482589e-02
230.98588600,3.28032254e-01,2.33803816e-02
231.00183100,3.09073164e-01,3.29524040e-02
231.01777600,3.14208918e-01,4.57076000e-02
231.03372200,4.09212358e-01,6.21671079e-02
231.04965200,5.07687631e-01,8.27410829e-02
231.06559800,5.92723549e-01,1.07744025e-01
231.08154300,6.33969569e-01,1.37192725e-01
231.09748800,6.19154281e-01,1.70823911e-01
231.11343400,5.54805369e-01,2.08030771e-01
231.12939500,4.85560693e-01,2.47888740e-01
231.14534000,4.79288994e-01,2.89043927e-01
231.16128500,4.56602083e-01,3.30028819e-01
231.17720000,4.31483289e-01,3.69157675e-01
231.19314600,3.94221077e-01,4.05007037e-01
231.20909100,3.70414220e-01,4.36111096e-01
231.22505200,3.47999296e-01,4.61431063e-01
231.24099700,3.38255764e-01,4.80264878e-01
231.25694300,3.40431659e-01,4.92438616e-01
231.27288800,3.31232101e-01,4.98171717e-01
231.28883400,3.06657280e-01,4.98035243e-01
231.30477900,2.71874950e-01,4.92841312e-01
231.32070900,2.34276755e-01,4.83537414e-01
231.33665500,2.20821401e-01,4.71063243e-01
231.35260000,1.96790554e-01,4.56336745e-01
231.36854600,2.09157960e-01,4.40183966e-01
231.38449100,2.61315457e-01,4.23357021e-01
231.40043600,2.48996048e-01,4.06554155e-01
231.41638200,2.25365182e-01,3.90454452e-01
231.43234300,2.21573364e-01,3.75725241e-01
231.44825700,2.17301570e-01,3.63087745e-01
231.46420300,2.22197335e-01,3.53097584e-01
231.48014800,2.63491352e-01,3.46292812e-01
231.49609400,3.06497288e-01,3.42994551e-01
231.51203900,3.32304049e-01,3.43267107e-01
231.52798500,3.26976305e-01,3.46869551e-01
231.54393000,3.06017311e-01,3.53244942e-01
231.55989100,2.67651153e-01,3.61561165e-01
231.57582100,2.65987233e-01,3.70735646e-01
231.59175100,3.03425436e-01,3.79614093e-01
231.60769700,3.28640225e-01,3.87033322e-01
231.62364200,3.46383374e-01,3.91927027e-01
231.63958700,3.77741868e-01,3.93461663e-01
231.65553300,4.30523335e-01,3.91112586e-01
231.67147800,4.48826456e-01,3.84728823e-01
231.68742400,4.35243108e-01,3.74569776e-01
231.70336900,4.58793978e-01,3.61321949e-01
231.71929900,5.02727869e-01,3.46099138e-01
231.73524500,5.20375022e-01,3.30348365e-01
231.75119000,4.89160520e-01,3.15878665e-01
231.76713600,4.66761595e-01,3.04705112e-01
231.78308100,4.81976865e-01,2.98945342e-01
231.79902600,4.78377038e-01,3.00660485e-01
231.81497200,4.73801258e-01,3.11681751e-01
231.83090200,4.55034158e-01,3.33390889e-01
231.84684800,4.37499000e-01,3.66635124e-01
231.86277800,3.95565013e-01,4.11391851e-01
231.87872300,3.39247716e-01,4.66929157e-01
231.89468400,3.02689471e-01,5.31568963e-01
231.91062900,2.79186599e-01,6.02638126e-01
231.92657500,2.84210358e-01,6.76982502e-01
231.94250500,2.81218502e-01,7.50863353e-01
231.95845000,2.77298690e-01,8.20619166e-01
231.97439600,2.65875238e-01,8.82544788e-01
231.99032600,2.80290546e-01,9.33421057e-01
232.00627100,2.75778763e-01,9.70891187e-01
232.02221700,2.67747148e-01,9.93309535e-01
232.03816200,2.38500552e-01,1.00000000e+00
232.05409200,2.30916916e-01,9.91181627e-01
232.07003800,2.59027567e-01,9.67787486e-01
232.08598300,3.04897365e-01,9.31350910e-01
232.10192900,3.08833176e-01,8.83784130e-01
232.11787400,3.05153353e-01,8.27220605e-01
232.13380400,3.34751932e-01,7.63915037e-01
232.14975000,3.63790538e-01,6.95903735e-01
232.16569500,3.72654113e-01,6.25316793e-01
232.18164100,3.31472089e-01,5.54077667e-01
232.19758600,2.60643489e-01,4.83973356e-01
232.21353100,2.22149337e-01,4.16605117e-01
232.22947700,2.15781642e-01,3.53381790e-01
232.24542200,2.26469129e-01,2.95507542e-01
232.26133700,2.04470185e-01,2.44027318e-01
232.27728300,1.92790746e-01,1.99451746e-01
232.29322800,1.98038494e-01,1.62349709e-01
232.30917400,1.86039070e-01,1.32946008e-01
232.32511900,1.80375342e-01,1.11274965e-01
232.34106400,1.63192167e-01,9.72054903e-02
232.35701000,1.40169272e-01,9.04862854e-02
232.37294000,1.36777435e-01,9.07684271e-02
232.38887000,1.23530071e-01,9.76107926e-02
232.40481600,1.11450650e-01,1.10502750e-01
232.42076100,1.26441931e-01,1.28787913e-01
232.43670700,1.32841624e-01,1.51656800e-01
232.45265200,1.28617826e-01,1.78099757e-01
232.46858200,1.30329744e-01,2.06869175e-01
232.48452800,1.64760092e-01,2.36594868e-01
232.50047300,1.91190823e-01,2.65656962e-01
232.51641800,2.04230197e-01,2.92386109e-01
