wavelength_nm,measured_norm,nist_synth_norm
230.12480200,1.32679303e-02,2.28515240e-02
230.14074700,1.11915421e-02,2.14564139e-02
230.15669300,9.69616154e-03,2.01377205e-02
230.17265300,9.59138966e-03,1.89314197e-02
230.18858300,1.28678922e-02,1.78754103e-02
230.20452900,2.26973998e-02,1.69981385e-02
230.22049000,1.74778550e-02,1.63280460e-02
230.23642000,1.80683875e-02,1.58900725e-02
230.25236500,2.10020002e-02,1.57011594e-02
230.26831100,2.21925898e-02,1.57757266e-02
230.28427100,1.27250214e-02,1.61240291e-02
230.30021700,5.99104677e-03,1.67523865e-02
230.31616200,7.11496333e-03,1.76667774e-02
230.33212300,2.29545671e-03,1.88757655e-02
230.34806800,4.31469664e-03,2.03881884e-02
230.36399800,6.58157920e-03,2.22214366e-02
230.37992900,6.20059053e-03,2.44046341e-02
230.39588900,4.15277645e-03,2.69818734e-02
230.41183500,4.26707305e-03,2.99982366e-02
230.42778000,9.80093342e-03,3.35184141e-02
230.44372600,1.23059339e-02,3.76144204e-02
230.45968600,1.67730260e-02,4.23662522e-02
230.47563200,1.75159539e-02,4.78391327e-02
230.49157700,1.32679303e-02,5.41000435e-02
230.50750700,1.14487094e-02,6.11872700e-02
230.52346800,7.09591390e-03,6.91406819e-02
230.53941300,6.22916468e-03,7.79218222e-02
230.55534400,1.04581389e-02,8.74733894e-02
230.57128900,1.38584627e-02,9.77134041e-02
230.58725000,1.21249643e-02,1.08503729e-01
230.60319500,8.37222593e-03,1.19643102e-01
230.61914100,7.79121821e-03,1.30932224e-01
230.63507100,1.10200972e-02,1.42127626e-01
230.65103100,1.46204400e-02,1.53020632e-01
230.66697700,1.02390704e-02,1.63343664e-01
230.68292200,7.69597104e-03,1.72885115e-01
230.69886800,9.17230212e-03,1.81452596e-01
230.71481300,1.33155539e-02,1.88887245e-01
230.73075900,1.20201924e-02,1.95073674e-01
230.74670400,1.23726069e-02,1.99938838e-01
230.76265000,1.05629108e-02,2.03454783e-01
230.77858000,9.45804362e-03,2.05632038e-01
230.79454000,9.97237832e-03,2.06524109e-01
230.81048600,1.46394895e-02,2.06206802e-01
230.82643100,2.50500048e-02,2.04787495e-01
230.84237700,1.96018668e-02,2.02392524e-01
230.85832200,1.18106486e-02,1.99164817e-01
230.87428300,1.06486332e-02,1.95254981e-01
230.89021300,5.47671207e-03,1.90839264e-01
230.90614300,2.91456329e-03,1.86079914e-01
230.92208900,3.49557101e-03,1.81143544e-01
230.93803400,4.56233927e-03,1.76205588e-01
230.95399500,4.54328984e-03,1.71425232e-01
230.96994000,4.77188304e-03,1.66964641e-01
230.98588600,4.15277645e-03,1.62953618e-01
231.00183100,1.95256691e-03,1.59504260e-01
231.01777600,7.84836651e-03,1.56699181e-01
231.03372200,5.90532432e-03,1.54588136e-01
231.04965200,7.89599009e-03,1.53186431e-01
231.06559800,6.21011525e-03,1.52468629e-01
231.08154300,6.35298600e-03,1.52378346e-01
231.09748800,8.77226403e-03,1.52825212e-01
231.11343400,1.13725117e-02,1.53692095e-01
231.12939500,1.05724355e-02,1.54842978e-01
231.14534000,1.08962758e-02,1.56126555e-01
231.16128500,6.13391752e-03,1.57392121e-01
231.17720000,1.14772836e-02,1.58492445e-01
231.19314600,1.75445281e-02,1.59301726e-01
231.20909100,2.28783694e-02,1.59710674e-01
231.22505200,2.37832174e-02,1.59642270e-01
231.24099700,2.08877036e-02,1.59055262e-01
231.25694300,1.45251929e-02,1.57947096e-01
231.27288800,1.10677207e-02,1.56355095e-01
231.28883400,6.21011525e-03,1.54354954e-01
231.30477900,1.11629679e-02,1.52058133e-01
231.32070900,1.00295266e-02,1.49607834e-01
231.33665500,1.18011239e-02,1.47162494e-01
231.35260000,9.74378512e-03,1.44901394e-01
231.36854600,8.04838556e-03,1.43004328e-01
231.38449100,9.39137061e-03,1.41644380e-01
231.40043600,1.62396419e-02,1.40976562e-01
231.41638200,1.54395657e-02,1.41128620e-01
231.43234300,1.41632536e-02,1.42193960e-01
231.44825700,1.69920945e-02,1.44215109e-01
231.46420300,1.64777598e-02,1.47203810e-01
231.48014800,2.10115249e-02,1.51111794e-01
231.49609400,2.64882370e-02,1.55847848e-01
231.51203900,2.82788837e-02,1.61276739e-01
231.52798500,2.74311839e-02,1.67227765e-01
231.54393000,2.53738451e-02,1.73500235e-01
231.55989100,2.71549671e-02,1.79881968e-01
231.57582100,2.70787694e-02,1.86126816e-01
231.59175100,2.31926850e-02,1.92022741e-01
231.60769700,1.64777598e-02,1.97363449e-01
231.62364200,1.23440328e-02,2.01954051e-01
231.63958700,1.10105724e-02,2.05639377e-01
231.65553300,8.61986856e-03,2.08305271e-01
231.67147800,5.50528622e-03,2.09885083e-01
231.68742400,6.80064768e-03,2.10365409e-01
231.70336900,7.03876560e-03,2.09787551e-01
231.71929900,1.10772455e-02,2.08249020e-01
231.73524500,8.48652253e-03,2.05892330e-01
231.75119000,1.02200210e-02,2.02906979e-01
231.76713600,9.97237832e-03,1.99512247e-01
231.78308100,1.00676255e-02,1.95945720e-01
231.79902600,8.46747309e-03,1.92445992e-01
231.81497200,3.17173064e-03,1.89236846e-01
231.83090200,6.38156015e-03,1.86514591e-01
231.84684800,3.38127441e-03,1.84423988e-01
231.86277800,5.30526717e-03,1.83067148e-01
231.87872300,8.50557196e-03,1.82483371e-01
