wavelength_nm,strength
236.89287900,1.02000000e+09
236.96605200,1.52000000e+08
236.97270400,6.48000000e+09
236.97774800,5.88000000e+08
236.98087800,1.74000000e+08
236.98792900,2.00000000e+08
236.99146800,4.80000000e+08
236.99531700,7.08000000e+09
237.01288900,1.90400000e+09
237.01826100,4.64000000e+08
237.04986600,6.92000000e+07
237.06981300,1.14000000e+09
237.08001200,9.00000000e+08
237.09411500,1.44000000e+09
237.11750600,2.48000000e+08
237.17418200,1.11200000e+09
237.26328700,7.52000000e+08
237.28071000,1.68000000e+08
237.30523000,1.80000000e+08
237.33787000,1.44000000e+08
237.34365200,4.32000000e+08
237.36095900,4.38000000e+08
237.37353400,4.25000000e+08
237.40707800,4.00000000e+08
237.42085900,5.88000000e+08
237.43911400,2.52000000e+09
237.46531400,1.84800000e+09
237.48739600,4.24000000e+08
237.49957200,7.40000000e+08
237.50703800,3.84000000e+08
237.51381000,1.69400000e+09
237.51936500,1.96000000e+08
237.54741000,3.96000000e+08
237.61062900,8.64000000e+08
237.64291600,8.96000000e+09
237.67150000,1.04000000e+08
237.67577500,1.62000000e+08
237.72710400,1.54000000e+08
237.74616900,7.04000000e+08
237.81260600,1.75200000e+09
237.85227400,1.44000000e+08
237.85389700,2.58000000e+08
237.85533700,1.36000000e+08
237.86969000,1.19200000e+08
237.88202800,9.76000000e+08
237.89688900,1.05000000e+09
237.90023500,1.10000000e+08
237.91419300,7.20000000e+07
237.91697300,2.16000000e+08
237.92046100,2.48000000e+08
237.92762400,2.18400000e+08
237.93092600,3.20000000e+08
237.93586500,8.88000000e+08
237.94208400,3.70000000e+08
237.94221400,1.17000000e+09
237.95059100,1.52000000e+08
237.96911400,2.72000000e+08
237.97998100,7.30000000e+08
238.01515200,3.54000000e+08
238.02049100,6.44000000e+09
238.05040300,5.80000000e+08
238.06727700,1.80000000e+08
238.07612800,2.48000000e+08
238.08750600,1.89000000e+09
238.09048900,4.48000000e+08
238.19581000,5.68000000e+08
238.20372900,3.75600000e+09
238.21642100,9.00000000e+08
238.24236100,2.04000000e+08
238.24922700,1.80600000e+09
